taz1454,job_count,da_15,da_30,da_45,walk_15,walk_30,walk_45,bike_15,bike_30,bike_45,wTrnW_15,wTrnW_30,wTrnW_45
1269.0,1465,31230.0,105711.0,354112.0,0,1465.0,3364.0,4482.0,17822.0,25746.0,0,0,0.0
1270.0,1287,31140.0,104059.0,348145.0,0,1287.0,3774.0,5399.0,22924.0,26108.0,0,0,0.0
1271.0,362,34290.0,69851.0,241853.0,362,362.0,1710.0,3534.0,15114.0,38076.0,0,0,6067.0
1273.0,459,36085.0,90932.0,322407.0,459,1138.0,5347.0,8578.0,15114.0,34967.0,0,0,5850.0
1274.0,679,37125.0,89970.0,312401.0,679,1434.0,4286.0,9723.0,15114.0,35269.0,0,0,7158.0
1275.0,296,33406.0,87722.0,279245.0,296,1065.0,2593.0,12347.0,15114.0,34967.0,0,0,0.0
1276.0,90,29188.0,81154.0,247120.0,90,386.0,7087.0,7289.0,29188.0,34290.0,0,0,7280.0
1277.0,120,20749.0,65816.0,220540.0,0,120.0,482.0,654.0,14592.0,35799.0,0,0,452.0
1278.0,82,34447.0,66138.0,236763.0,0,82.0,82.0,6248.0,28666.0,35122.0,0,0,0.0
1279.0,14074,32487.0,65816.0,219250.0,0,0.0,14074.0,14074.0,22890.0,32002.0,0,0,0.0
1280.0,4132,30625.0,66138.0,224221.0,0,4132.0,4222.0,6128.0,29188.0,29188.0,0,1528,1618.0
1281.0,1528,36872.0,89833.0,307889.0,0,1528.0,7312.0,13937.0,29188.0,34290.0,0,4132,9620.0
1282.0,1590,29188.0,77683.0,243180.0,0,1590.0,1590.0,8516.0,29188.0,29188.0,0,0,0.0
1283.0,872,35435.0,89833.0,311650.0,0,872.0,6926.0,9806.0,29188.0,29188.0,0,0,6875.0
1284.0,3847,38054.0,94373.0,333465.0,0,3847.0,7241.0,9806.0,15114.0,29188.0,0,0,3900.0
1285.0,535,19944.0,88233.0,292701.0,0,535.0,4382.0,6235.0,15114.0,29188.0,0,0,0.0
1286.0,522,29068.0,65816.0,221215.0,0,522.0,522.0,1057.0,28986.0,29188.0,0,0,0.0
1287.0,832,4251.0,46547.0,96035.0,0,0.0,832.0,832.0,4251.0,18889.0,0,0,0.0
1288.0,1437,22457.0,61114.0,139669.0,0,1437.0,3419.0,3419.0,4251.0,4251.0,0,0,0.0
1289.0,1982,18325.0,59185.0,109196.0,0,1982.0,3419.0,3419.0,4251.0,18325.0,0,0,0.0
1290.0,1662,1662.0,3780.0,54603.0,0,1662.0,1662.0,1662.0,1662.0,1662.0,0,0,0.0
1291.0,848,50696.0,221967.0,675751.0,0,848.0,1072.0,9157.0,20008.0,27822.0,0,0,0.0
1292.0,7832,48767.0,202033.0,681799.0,0,7832.0,8056.0,9547.0,20363.0,25893.0,0,0,1696.0
1293.0,859,41775.0,104637.0,333582.0,859,2511.0,7129.0,11979.0,28650.0,30966.0,0,1652,10182.0
1294.0,1393,40376.0,118890.0,439748.0,0,1393.0,3880.0,12410.0,26556.0,30966.0,0,0,12669.0
1295.0,2487,39646.0,108166.0,409936.0,0,2487.0,3880.0,12996.0,26556.0,30966.0,0,0,11027.0
1296.0,586,39637.0,99506.0,301373.0,586,3127.0,11109.0,16767.0,30137.0,30966.0,0,0,0.0
1297.0,2541,44091.0,93855.0,300194.0,2541,9662.0,17932.0,19227.0,30137.0,31786.0,0,0,15552.0
1298.0,3912,44091.0,102832.0,331981.0,3912,10605.0,19227.0,26556.0,30137.0,31786.0,0,4070,21120.0
1299.0,4070,44091.0,105584.0,332665.0,4070,8530.0,17729.0,26556.0,30137.0,30966.0,0,3912,20962.0
1300.0,548,44091.0,105924.0,337631.0,548,4618.0,11041.0,21609.0,30137.0,30966.0,0,1652,11886.0
1301.0,1652,44091.0,106754.0,384099.0,1652,2511.0,7129.0,14602.0,28650.0,30966.0,0,1407,13269.0
1302.0,938,44091.0,94414.0,316494.0,0,938.0,5008.0,12225.0,27821.0,30966.0,0,0,6270.0
1303.0,246,25334.0,76359.0,243762.0,0,246.0,246.0,1184.0,23941.0,31786.0,0,0,938.0
1304.0,747,44091.0,94365.0,312686.0,0,747.0,5678.0,14912.0,27821.0,35411.0,0,0,13146.0
1305.0,2623,44091.0,92594.0,289344.0,2623,9076.0,17346.0,20879.0,30137.0,31786.0,0,0,15470.0
1306.0,4200,35411.0,84200.0,270243.0,0,4200.0,13276.0,17346.0,30957.0,34582.0,0,0,13146.0
1307.0,1019,34582.0,79244.0,251754.0,0,1019.0,1766.0,1766.0,23941.0,34582.0,0,0,0.0
1308.0,829,36065.0,98693.0,336985.0,0,0.0,0.0,829.0,3340.0,29056.0,0,0,0.0
1309.0,820,27554.0,65655.0,171888.0,0,820.0,820.0,4445.0,8645.0,22497.0,0,0,0.0
1310.0,3625,30318.0,64472.0,167018.0,0,3625.0,3625.0,4445.0,4445.0,13175.0,0,0,0.0
1311.0,2316,26442.0,59013.0,180338.0,0,0.0,2316.0,2316.0,20796.0,30137.0,0,0,0.0
1312.0,215,0.0,215.0,8796.0,0,0.0,0.0,0.0,0.0,215.0,0,0,0.0
1313.0,3803,3803.0,14045.0,48842.0,0,0.0,0.0,0.0,3803.0,8581.0,0,0,0.0
1314.0,4778,11345.0,42431.0,97689.0,0,0.0,0.0,4778.0,7542.0,12330.0,0,0,0.0
1315.0,2764,11167.0,49456.0,102118.0,0,0.0,0.0,2764.0,7542.0,11987.0,0,0,0.0
1316.0,985,2700.0,15124.0,122317.0,0,0.0,985.0,985.0,2700.0,7478.0,0,0,0.0
