,HHPER,HHPERTRIP,origin,origin_dwell,origin_ST,origin_ET,trip_ET,TT,MODE
3800,14575064,1457506401.0,home,13.083333333333332,18.25,7.333333333333333,7.833333333333333,0.5,shared
3801,14575064,1457506411.0,school,7.166666666666667,7.833333333333333,15.0,18.25,3.25,shared
3802,14575065,1457506501.0,home,13.083333333333332,18.25,7.333333333333333,7.833333333333333,0.5,shared
3803,14575065,1457506511.0,school,7.166666666666667,7.833333333333333,15.0,18.25,3.25,shared
3804,14579223,1457922301.0,home,16.933333333333334,14.816666666666666,7.75,8.116666666666667,0.36666666666666714,shared
3805,14579223,1457922311.0,school,6.25,8.116666666666667,14.366666666666667,14.816666666666666,0.4499999999999993,shared
3806,14580883,1458088301.0,home,15.033333333333335,17.083333333333332,8.116666666666667,8.25,0.13333333333333286,shared
3807,14580883,1458088311.0,school,0.75,8.25,9.0,17.083333333333332,8.083333333333332,shared
3808,14580884,1458088401.0,home,15.033333333333335,17.083333333333332,8.116666666666667,8.25,0.13333333333333286,shared
3809,14580884,1458088411.0,school,8.75,8.25,17.0,17.083333333333332,0.08333333333333215,shared
3810,14582453,1458245301.0,home,14.283333333333331,17.916666666666668,8.2,8.266666666666667,0.0666666666666682,shared
3811,14582453,1458245311.0,school,8.466666666666667,8.266666666666667,16.733333333333334,17.916666666666668,1.1833333333333336,shared
3812,14582454,1458245401.0,home,14.283333333333331,17.916666666666668,8.2,8.266666666666667,0.0666666666666682,shared
3813,14582454,1458245411.0,school,7.699999999999999,8.266666666666667,15.966666666666667,17.916666666666668,1.950000000000001,shared
3814,14583883,1458388301.0,home,14.25,17.25,7.5,7.75,0.25,shared
3815,14583883,1458388311.0,school,9.25,7.75,17.0,17.25,0.25,shared
3816,14585521,1458552102.0,home,20.25,21.25,17.5,17.666666666666668,0.16666666666666785,shared
3817,14585521,1458552112.0,school,3.4166666666666643,17.666666666666668,21.083333333333332,21.25,0.16666666666666785,shared
3818,14587763,1458776301.0,home,15.75,15.5,7.25,7.383333333333334,0.13333333333333375,shared
3819,14587763,1458776311.0,school,7.7,7.383333333333334,15.083333333333334,15.5,0.4166666666666661,shared
3820,14587764,1458776401.0,home,15.75,15.5,7.25,7.5,0.25,shared
3821,14587764,1458776411.0,school,7.25,7.5,14.75,15.5,0.75,shared
